Percentage change from baseline,Year
26.28255722,1991
34.49092344,1992
41.91002368,1993
-24.07261247,1994
30.54459353,1995
25.96685083,1996
-34.17521705,1997
7.340173639,1998
-5.91949487,1999
-0.394632991,2000
-22.02052092,2001
-25.33543804,2002
-2.446724546,2003
7.024467245,2004
5.761641673,2005
-23.28334649,2006
-17.12707182,2007
-22.8097869,2008
-13.97000789,2009
26.12470403,2010
34.96448303,2011
11.12865036,2012
-1.499605367,2013
-22.02052092,2014
-26.44041042,2015
8.918705604,2016
0.078926598,2017
-30.38674033,2018
-39.06866614,2019
26.75611681,2020
2.762430939,2021
18.3898974,2022
-12.86503552,2023
-0.236779795,2024
-17.28492502,2025
-46.96132597,2026
