Financial Year,Total UNFCCC (Mt)
1990,615.8762
1991,596.6332
1992,557.5867
1993,536.8097
1994,526.4836
1995,514.3284
1996,516.0083
1997,514.5532
1998,532.7734
1999,553.483
2000,574.9754
2001,590.3332
2002,594.3596
2003,594.0681
2004,575.449
2005,607.7293
2006,644.086
2007,626.7748
2008,616.8287
2009,611.1087
2010,612.7687
2011,581.9003
2012,556.6261
2013,559.5275
2014,541.0359
2015,537.4994
2016,494.7693
2017,533.7667
2018,504.9112
2019,492.8685
2020,476.6365
2021,440.366
2022,443.7665
2023,484.6792
2024,466.4227
2025,461.8447
2026,457.2667
2027,452.6887
2028,448.1107
2029,443.5327
2030,438.9547
2031,434.3767
2032,429.7987
2033,425.2207
2034,420.6427
2035,416.0647
2036,411.4867
2037,406.9087
2038,402.3307
2039,397.7527
2040,393.1747
2041,388.5967
2042,384.0187
2043,379.4407
2044,374.8627
2045,370.2847
2046,365.7067
2047,361.1287
2048,356.5507
2049,351.9727
2050,347.3947
