Year,CAPE OTWAY LIGHTHOUSE,LAVERTON RAAF,MELBOURNE (OLYMPIC PARK),WILSONS PROMONTORY LIGHTHOUSE,Average
1910,36.6,,40.6,32.6,36.6
1911,35.1,,39.8,29.4,34.8
1912,37.3,,41.4,36.4,38.4
1913,38.2,,40.8,36.5,38.5
1914,38.6,,41.2,37.6,39.1
1915,35.8,,40.2,35.8,37.3
1916,37.4,,40.5,36.5,38.1
1917,38.2,,38.2,31.8,36.1
1918,37.6,,38.2,36.5,37.4
1919,40.7,,41.5,32.3,38.2
1920,40.7,,40.9,38.4,40.0
1921,39.3,,42.3,38.3,40.0
1922,36.2,,40.4,38.2,38.3
1923,38.2,,41.2,34.5,38.0
1924,30.5,,40.5,37.6,36.2
1925,38.7,,38.2,34.4,37.1
1926,36.6,,40.1,34.5,37.1
1927,38.5,,41.1,34.8,38.1
1928,38.2,,40.1,33.8,37.4
1929,34.8,,38.2,32.6,35.2
1930,37.7,,39.3,33.7,36.9
1931,33.5,,39.8,32.8,35.4
1932,36.2,,42.9,34.9,38.0
1933,36.8,,36.2,33.2,35.4
1934,37.9,,39.1,37.1,38.0
1935,35.9,,39.9,31.8,35.9
1936,34.3,,41.1,31.1,35.5
1937,36.8,,36.6,32.9,35.4
1938,34.9,,39.4,31.9,35.4
1939,40.5,,45.8,32.9,39.7
1940,36.1,,40.5,37.9,38.2
1941,38.7,,40.5,37.1,38.8
1942,37.3,,39.2,39,38.5
1943,39.9,42.5,42.1,39.1,40.9
1944,38.8,41.5,40.3,38.3,39.7
1945,38.7,43.1,39.7,37.3,39.7
1946,38.2,43.3,41.1,37.7,40.1
1947,38.3,41.2,39.3,31.6,37.6
1948,37.3,40.8,40.2,38.2,39.1
1949,37.2,37.4,37.4,31.8,36.0
1950,36.5,41,38.7,36.5,38.2
1951,34.4,36.9,40.2,38.8,37.6
1952,33.8,37.9,43.3,36,37.8
1953,34.6,43.1,41.7,36.8,39.1
1954,38.3,39.7,38.4,36.6,38.3
1955,41.9,40.7,40.8,37.7,40.3
1956,35.5,37.2,37.2,28.6,34.6
1957,36.6,38.8,39.4,33.7,37.1
1958,36.1,38.6,38.3,33.7,36.7
1959,42.7,43.3,43,41.6,42.7
1960,38.3,41.6,40.8,39.4,40.0
1961,37.1,41.1,41.9,33.4,38.4
1962,38.8,42.2,40.1,34.5,38.9
1963,32.5,38.9,36.8,32.2,35.1
1964,32.8,39.8,40.3,31.1,36.0
1965,37.9,42.1,42.3,34.4,39.2
1966,38.4,40.2,40,37,38.9
1967,38.4,40.7,39.5,38.2,39.2
1968,41.1,45.2,44.4,39.9,42.7
1969,37.4,40,39.3,36.1,38.2
1970,34.1,39.3,37.2,33.2,36.0
1971,36.7,39,39.3,33.8,37.2
1972,39.1,41.5,39.8,31.6,38.0
1973,39.7,42,41.2,34,39.2
1974,36,36.1,35.4,31.5,34.8
1975,40.5,41.3,38.9,35.4,39.0
1976,39,41,41.3,37.3,39.7
1977,37.1,39.1,39,37.1,38.1
1978,37.9,38.3,38.3,37.1,37.9
1979,35.6,41.2,40.2,34.2,37.8
1980,42,43.7,41.3,37.1,41.0
1981,38.3,42.5,42.5,39,40.6
1982,43.8,44.1,44,41,43.2
1983,41.6,43.3,42.1,39.4,41.6
1984,33.7,36.1,34.8,33.7,34.6
1985,40.9,43.8,42.9,40.8,42.1
1986,34.7,37.7,36.9,33.4,35.7
1987,37.6,38.3,38.7,35,37.4
1988,38.9,39.3,41.1,36,38.8
1989,36.4,37.9,37.3,35.3,36.7
1990,36.1,42.1,39.3,35.8,38.3
1991,40.4,41.6,42.3,38.5,40.7
1992,37.4,40.1,39.5,35.3,38.1
1993,38.9,39.5,40.2,35.1,38.4
1994,38.1,41.5,41.3,37.7,39.7
1995,32.6,38,38.9,36.6,36.5
1996,33.1,37.9,39.3,30,35.1
1997,41.2,42.4,41.4,38.6,40.9
1998,38.8,43.6,41.9,37.7,40.5
1999,37.5,39.2,37.7,34,37.1
2000,38.7,42.2,38.9,36.5,39.1
2001,39.7,41.1,40.9,35,39.2
2002,35.5,37.8,36.7,33,35.8
2003,39.2,45.1,43.9,39,41.8
2004,35.3,40.3,39.7,34.4,37.4
2005,38.8,45.2,42.7,37.1,41.0
2006,42.7,43.7,42.2,32,40.2
2007,41.1,42,40.9,36.7,40.2
2008,39,41.5,41,36.9,39.6
2009,42.9,46.2,45.9,42,44.3
2010,36.7,44.7,43.4,36.1,40.2
2011,35.7,40.5,39.5,35.6,37.8
2012,38.4,39.5,39.7,33.9,37.9
2013,40.9,41.7,40.9,35.7,39.8
2014,39.8,44.7,43.4,38.8,41.7
2015,37,43.9,41.2,38.4,40.1
2016,36,43.8,42.2,33.5,38.9
2017,35.7,39.1,37.8,33.3,36.5
2018,40.5,43.1,41.7,38.4,40.9
2019,43.4,45.2,43.5,40.2,43.1
2020,39.8,44.1,42.9,35,40.5
2021,36.5,41.5,39.2,37.1,38.6
2022,37.3,38.5,37.3,33.7,36.7
2023,34.4,42,40.5,30.9,37.0
2024,40.1,40.9,39.4,37.6,39.5
