Average Yearly Precipitation,Year
40.3,1912
55.7,1913
47.9,1914
53.9,1915
83.2,1916
74.1,1917
66.7,1918
52.4,1919
63.4,1920
63.2,1921
60.8,1922
55.5,1923
78.9,1924
45.1,1925
42.2,1926
39.9,1927
51.6,1928
62.7,1929
54.3,1930
63.4,1931
62.4,1932
45.3,1933
63.1,1934
53.8,1935
49.8,1936
51.1,1937
37.0,1938
83.3,1939
47.9,1940
66.3,1941
66.2,1942
50.6,1943
62.6,1944
42.0,1945
66.7,1946
65.0,1947
53.2,1948
80.1,1949
64.0,1950
74.5,1951
82.7,1952
66.7,1953
69.0,1954
84.8,1955
85.9,1956
62.9,1957
74.3,1958
67.5,1959
87.9,1960
55.9,1961
63.6,1962
66.1,1963
79.8,1964
59.6,1965
68.8,1966
37.0,1967
52.1,1968
58.8,1969
87.3,1970
74.8,1971
51.9,1972
76.6,1973
83.7,1974
67.9,1975
61.1,1976
53.8,1977
81.2,1978
53.9,1979
51.1,1980
61.1,1981
43.9,1982
66.2,1983
63.9,1984
65.0,1985
56.0,1986
62.4,1987
60.6,1988
71.0,1989
65.4,1990
80.0,1991
85.2,1992
89.9,1993
48.1,1994
82.7,1995
79.8,1996
41.7,1997
68.0,1998
59.6,1999
63.1,2000
49.4,2001
47.3,2002
61.8,2003
67.8,2004
67.0,2005
48.6,2006
52.5,2007
48.9,2008
54.5,2009
79.9,2010
85.5,2011
70.4,2012
62.4,2013
49.4,2014
46.6,2015
69.0,2016
63.4,2017
44.1,2018
38.6,2019
80.3,2020
65.1,2021
75.0,2022
55.2,2023
63.2,2024
52.4,2025
33.6,2026
