latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-43.99132,171.82646,367,0.32,0.55,2026-04-29,0147,N20,high,2.0NRT,295.76,8.82,D
-43.98888,171.82826,351.4,0.32,0.55,2026-04-29,0147,N20,nominal,2.0NRT,290.94,5.42,D
-43.98911,171.82419,355.32,0.32,0.55,2026-04-29,0147,N20,nominal,2.0NRT,294.25,5.42,D
-42.75308,172.82559,348.23,0.56,0.51,2026-04-29,0149,N20,nominal,2.0NRT,291.13,10.99,D
-41.541,173.73538,340.88,0.49,0.49,2026-04-29,0149,N20,nominal,2.0NRT,291.81,6.05,D
-41.53992,173.73466,331.6,0.49,0.48,2026-04-29,0149,N20,nominal,2.0NRT,291.54,3.16,D
-38.51917,178.20166,328.09,0.43,0.38,2026-04-29,0149,N20,nominal,2.0NRT,293.44,12.14,D
-37.32267,174.86777,330.95,0.39,0.44,2026-04-29,0149,N20,nominal,2.0NRT,288.8,2.59,D
-15.3969,167.82562,326.69,0.54,0.51,2026-04-29,0156,N20,nominal,2.0NRT,289.23,4.83,D
-15.39285,167.82008,328.97,0.54,0.51,2026-04-29,0156,N20,nominal,2.0NRT,287.67,10.93,D
-43.08777,147.71831,326.7,0.55,0.51,2026-04-29,0330,N20,nominal,2.0NRT,287.08,3.68,D
-42.63389,147.61427,325.11,0.55,0.51,2026-04-29,0330,N20,nominal,2.0NRT,291.86,2.68,D
-42.6217,147.7258,354.39,0.54,0.51,2026-04-29,0330,N20,nominal,2.0NRT,297.09,14.86,D
-42.62111,147.72514,353.66,0.54,0.51,2026-04-29,0330,N20,nominal,2.0NRT,296.36,14.46,D
-42.48051,147.39693,337.38,0.56,0.51,2026-04-29,0330,N20,nominal,2.0NRT,289.9,6.83,D
-42.49778,147.1347,343.49,0.58,0.52,2026-04-29,0330,N20,nominal,2.0NRT,300.99,119.57,D
-42.49731,147.14185,367,0.58,0.52,2026-04-29,0330,N20,low,2.0NRT,329.57,119.57,D
-42.49242,147.14172,341.18,0.58,0.52,2026-04-29,0330,N20,nominal,2.0NRT,298.1,49.13,D
-42.30397,146.45218,329.66,0.62,0.54,2026-04-29,0330,N20,nominal,2.0NRT,286.12,4.36,D
-41.77983,147.38972,334.84,0.55,0.51,2026-04-29,0330,N20,nominal,2.0NRT,296.92,5.84,D
-41.78027,147.38754,332.21,0.55,0.51,2026-04-29,0330,N20,nominal,2.0NRT,297.58,5.43,D
-41.77406,146.98289,349.87,0.58,0.52,2026-04-29,0330,N20,nominal,2.0NRT,297.72,59.01,D
-41.76873,146.98933,339.28,0.58,0.52,2026-04-29,0330,N20,nominal,2.0NRT,293.11,59.01,D
-41.76919,146.9823,314.78,0.58,0.52,2026-04-29,0330,N20,low,2.0NRT,320.42,59.01,D
-41.61821,146.84464,329.28,0.59,0.53,2026-04-29,0330,N20,nominal,2.0NRT,293.1,3.03,D
-41.61651,146.84445,327.12,0.59,0.53,2026-04-29,0330,N20,nominal,2.0NRT,292.51,4.91,D
-41.45209,147.05887,352.98,0.57,0.52,2026-04-29,0332,N20,nominal,2.0NRT,291.21,11.11,D
-41.31154,145.67659,367,0.34,0.56,2026-04-29,0332,N20,high,2.0NRT,290.2,51.74,D
-41.18237,147.68147,338.31,0.53,0.5,2026-04-29,0332,N20,nominal,2.0NRT,289.72,87.55,D
-41.30658,145.67191,367,0.34,0.56,2026-04-29,0332,N20,high,2.0NRT,290.38,11.34,D
-41.27619,146.11324,338.14,0.64,0.54,2026-04-29,0332,N20,nominal,2.0NRT,286.19,6.68,D
-41.27112,146.11267,340.69,0.64,0.54,2026-04-29,0332,N20,nominal,2.0NRT,294.35,57.79,D
-41.26606,146.11183,348.36,0.64,0.54,2026-04-29,0332,N20,nominal,2.0NRT,292.4,57.79,D
-41.26649,146.10443,333.29,0.64,0.54,2026-04-29,0332,N20,nominal,2.0NRT,289.03,57.79,D
-41.16647,145.54723,330.32,0.34,0.56,2026-04-29,0332,N20,nominal,2.0NRT,290.87,30.55,D
-41.16669,145.54303,354.41,0.34,0.56,2026-04-29,0332,N20,nominal,2.0NRT,297.67,30.55,D
-41.16124,145.5466,367,0.34,0.56,2026-04-29,0332,N20,high,2.0NRT,293.79,30.55,D
-41.16636,145.54532,367,0.34,0.56,2026-04-29,0332,N20,high,2.0NRT,292.13,35.57,D
-41.16661,145.54108,350.56,0.34,0.56,2026-04-29,0332,N20,nominal,2.0NRT,293.99,69.14,D
-41.16115,145.54469,367,0.34,0.56,2026-04-29,0332,N20,high,2.0NRT,301.4,35.57,D
-40.88912,145.42688,343.93,0.34,0.56,2026-04-29,0332,N20,nominal,2.0NRT,291.25,4.82,D
-40.88934,145.42282,347.66,0.34,0.56,2026-04-29,0332,N20,nominal,2.0NRT,293.88,4.82,D
