latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.04668,132.18803,317.32,1.4,1.17,2026-04-29,0011,T,72,6.1NRT,299.1,17.72,D
-14.08601,131.84377,310.53,1.33,1.14,2026-04-29,0011,T,38,6.1NRT,299.22,6.39,D
-14.09585,131.84828,314.84,1.33,1.14,2026-04-29,0011,T,63,6.1NRT,299.92,10.96,D
-14.45597,125.16779,320.02,1.27,1.12,2026-04-29,0011,T,0,6.1NRT,300.29,13.91,D
-14.46764,125.17773,340.69,1.26,1.12,2026-04-29,0011,T,79,6.1NRT,301.51,51.06,D
-14.63601,125.40978,313.76,1.22,1.1,2026-04-29,0011,T,63,6.1NRT,300.35,8.66,D
-14.63771,125.4209,316.42,1.22,1.1,2026-04-29,0011,T,61,6.1NRT,300.24,11.73,D
-15.44508,129.6445,312.01,1.07,1.03,2026-04-29,0011,T,40,6.1NRT,299.65,5.48,D
-15.07114,126.8921,312.03,1.04,1.02,2026-04-29,0011,T,63,6.1NRT,300.59,5.93,D
-15.45366,129.57753,322.86,1.06,1.03,2026-04-29,0011,T,78,6.1NRT,301.8,15.23,D
-15.45497,129.58727,326.16,1.06,1.03,2026-04-29,0011,T,81,6.1NRT,301.39,19.37,D
-15.45628,129.59698,313.31,1.06,1.03,2026-04-29,0011,T,28,6.1NRT,300.68,5.25,D
-15.4769,129.47607,330,1.05,1.02,2026-04-29,0011,T,84,6.1NRT,301.06,24.71,D
-15.48612,129.54352,311.53,1.06,1.03,2026-04-29,0011,T,45,6.1NRT,299.61,4.16,D
-15.49008,129.57256,312.44,1.06,1.03,2026-04-29,0011,T,50,6.1NRT,300.5,5.22,D
-15.7248,130.86775,313.97,1.22,1.1,2026-04-29,0011,T,66,6.1NRT,302.06,8.08,D
-15.61157,129.85895,312.34,1.09,1.04,2026-04-29,0011,T,61,6.1NRT,300.65,7.02,D
-15.77583,130.80446,314.21,1.21,1.09,2026-04-29,0011,T,66,6.1NRT,301.32,8.84,D
-15.29317,127.27363,320.61,1.02,1.01,2026-04-29,0011,T,76,6.1NRT,299.01,13.34,D
-15.58551,129.32791,312.7,1.04,1.02,2026-04-29,0011,T,55,6.1NRT,300.85,5.77,D
-16.32929,135.02722,315.3,2.47,1.51,2026-04-29,0011,T,71,6.1NRT,297.77,36.01,D
-15.12699,125.13219,310.93,1.25,1.11,2026-04-29,0011,T,47,6.1NRT,298.79,7.58,D
-15.13678,125.13055,309.61,1.25,1.11,2026-04-29,0011,T,52,6.1NRT,298.31,6.15,D
-15.41692,126.98441,316.35,1.03,1.02,2026-04-29,0011,T,70,6.1NRT,300.12,9.74,D
-15.41831,126.99382,331.82,1.03,1.02,2026-04-29,0011,T,85,6.1NRT,301.58,27.49,D
-15.41969,127.00321,314.35,1.03,1.01,2026-04-29,0011,T,63,6.1NRT,300.06,7.72,D
-15.414,126.83991,312.07,1.04,1.02,2026-04-29,0011,T,63,6.1NRT,299.11,6.54,D
-15.14326,124.9699,308.83,1.27,1.12,2026-04-29,0011,T,40,6.1NRT,298.79,6.14,D
-15.56719,127.50526,314.04,1.01,1,2026-04-29,0011,T,52,6.1NRT,301.22,5.42,D
-15.35421,125.82121,327.64,1.14,1.06,2026-04-29,0011,T,83,6.1NRT,299.99,25.11,D
-15.36053,125.82491,322.01,1.14,1.06,2026-04-29,0011,T,78,6.1NRT,299.73,17.47,D
-15.77827,128.65498,313.78,1.01,1.01,2026-04-29,0011,T,29,6.1NRT,301.91,6.27,D
-15.30025,125.37743,312.87,1.2,1.09,2026-04-29,0011,T,62,6.1NRT,297.34,11.57,D
-15.65311,127.71103,312.34,1,1,2026-04-29,0011,T,61,6.1NRT,301.03,5.44,D
-15.53135,126.57437,309.53,1.06,1.03,2026-04-29,0011,T,51,6.1NRT,299.22,5.6,D
-15.68414,127.61284,313.54,1,1,2026-04-29,0011,T,46,6.1NRT,300.63,5.55,D
-15.49767,125.33248,310.84,1.2,1.09,2026-04-29,0011,T,50,6.1NRT,299.45,6.58,D
-15.50729,125.33087,313.99,1.2,1.09,2026-04-29,0011,T,68,6.1NRT,298.74,10.14,D
-15.5835,125.50732,316.07,1.17,1.08,2026-04-29,0011,T,71,6.1NRT,297.73,12.38,D
-15.7809,126.82589,309.91,1.04,1.02,2026-04-29,0011,T,56,6.1NRT,298.29,5.22,D
-15.58853,125.5109,317.44,1.17,1.08,2026-04-29,0011,T,73,6.1NRT,297.82,14.06,D
-15.62607,125.68891,310.31,1.15,1.07,2026-04-29,0011,T,55,6.1NRT,298.71,6.04,D
-15.63273,125.48131,310.06,1.18,1.08,2026-04-29,0011,T,53,6.1NRT,298.9,6.2,D
-15.63897,125.45835,314.42,1.18,1.08,2026-04-29,0011,T,69,6.1NRT,298.18,10.93,D
-15.72669,125.74184,311.09,1.14,1.06,2026-04-29,0011,T,62,6.1NRT,297.38,7.82,D
-16.10103,127.43386,310.07,1.01,1,2026-04-29,0011,T,48,6.1NRT,299.66,4.58,D
-16.24669,127.6776,313.82,1,1,2026-04-29,0011,T,66,6.1NRT,300.69,5.91,D
-16.24801,127.68675,313.45,1,1,2026-04-29,0011,T,65,6.1NRT,300.28,5.59,D
-16.29038,127.65522,316.58,1,1,2026-04-29,0011,T,70,6.1NRT,300.41,9.12,D
-16.40459,127.55694,310.14,1,1,2026-04-29,0011,T,36,6.1NRT,299.67,4.2,D
-16.47108,126.81325,316.07,1.03,1.01,2026-04-29,0013,T,70,6.1NRT,300.6,8.33,D
-17.01196,130.65283,337,1.23,1.1,2026-04-29,0013,T,89,6.1NRT,300.23,46.09,D
-17.01341,130.66412,325.46,1.23,1.1,2026-04-29,0013,T,81,6.1NRT,299.43,25.73,D
-16.39602,125.64222,309.22,1.13,1.06,2026-04-29,0013,T,48,6.1NRT,298.9,4.81,D
-16.34794,124.99281,312.31,1.22,1.1,2026-04-29,0013,T,64,6.1NRT,299.51,8.42,D
-16.97315,126.15657,310.52,1.07,1.03,2026-04-29,0013,T,58,6.1NRT,299.51,5.06,D
-16.97899,126.19573,316.17,1.06,1.03,2026-04-29,0013,T,70,6.1NRT,300,9.5,D
-16.98042,126.20531,329.39,1.06,1.03,2026-04-29,0013,T,84,6.1NRT,301.44,24.69,D
-17.31789,126.73982,326.54,1.02,1.01,2026-04-29,0013,T,81,6.1NRT,300.67,20.07,D
-17.56028,127.77657,361.97,1,1,2026-04-29,0013,T,100,6.1NRT,303.26,86.83,D
-17.56159,127.78578,335.94,1,1,2026-04-29,0013,T,88,6.1NRT,300.34,32.21,D
-17.56291,127.79501,311.04,1,1,2026-04-29,0013,T,51,6.1NRT,298.17,5.37,D
-17.56913,127.77523,338.44,1,1,2026-04-29,0013,T,90,6.1NRT,299.87,36.03,D
-17.57045,127.78445,327.41,1,1,2026-04-29,0013,T,82,6.1NRT,300.18,20.63,D
-17.57176,127.79367,309.91,1,1,2026-04-29,0013,T,31,6.1NRT,298.28,4.14,D
-17.99378,130.13423,315.85,1.18,1.08,2026-04-29,0013,T,70,6.1NRT,298.67,11.56,D
-17.3491,125.29881,312.8,1.15,1.07,2026-04-29,0013,T,54,6.1NRT,300.66,6.44,D
-17.90422,127.79417,323.79,1,1,2026-04-29,0013,T,79,6.1NRT,299.26,16.38,D
-17.90553,127.80342,323.1,1,1,2026-04-29,0013,T,78,6.1NRT,298.8,15.41,D
-18.06909,127.78504,318.87,1,1,2026-04-29,0013,T,71,6.1NRT,300.63,10.46,D
-19.0897,134.23792,311.65,2.34,1.48,2026-04-29,0013,T,45,6.1NRT,299,19.33,D
-19.08427,134.06404,316.36,2.27,1.46,2026-04-29,0013,T,71,6.1NRT,297.4,32.91,D
