latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-27.10238,149.47473,295.59,0.79,0.78,2026-04-30,1412,N,nominal,2.0NRT,285.08,0.36,N
-28.76397,149.8587,300.56,0.69,0.74,2026-04-30,1412,N,nominal,2.0NRT,279.16,1.81,N
-28.76867,149.84903,311.41,0.69,0.74,2026-04-30,1412,N,nominal,2.0NRT,276.83,3.97,N
-28.7707,149.8562,313.56,0.69,0.74,2026-04-30,1412,N,nominal,2.0NRT,279.95,1.81,N
-28.86371,149.63708,304.99,0.7,0.75,2026-04-30,1412,N,nominal,2.0NRT,283.93,1.46,N
-28.86716,149.63402,295.67,0.7,0.75,2026-04-30,1412,N,nominal,2.0NRT,283.44,2.27,N
-28.86927,149.64134,298.09,0.7,0.75,2026-04-30,1412,N,nominal,2.0NRT,282.14,1.42,N
-29.33483,149.72346,298.91,0.68,0.74,2026-04-30,1414,N,nominal,2.0NRT,284.25,1.32,N
-29.34975,149.16248,295.49,0.73,0.76,2026-04-30,1414,N,nominal,2.0NRT,284.73,0.84,N
-30.34526,148.12912,298.75,0.78,0.78,2026-04-30,1414,N,nominal,2.0NRT,284.57,1.71,N
-30.57603,148.13588,303.01,0.77,0.77,2026-04-30,1414,N,nominal,2.0NRT,282.5,1.92,N
-30.69582,147.75099,323.96,0.8,0.78,2026-04-30,1414,N,nominal,2.0NRT,286.28,3.54,N
-32.23469,151.35709,300.86,0.47,0.64,2026-04-30,1414,N,nominal,2.0NRT,282.56,0.59,N
-37.20514,174.7229,310.46,0.38,0.59,2026-04-30,1414,N,nominal,2.0NRT,283.24,1.23,N
-37.21069,174.72255,304.7,0.38,0.59,2026-04-30,1414,N,nominal,2.0NRT,281.24,1.23,N
-37.20404,174.72141,316.1,0.38,0.59,2026-04-30,1414,N,nominal,2.0NRT,283.41,1.28,N
-33.76369,150.84396,296.74,0.46,0.63,2026-04-30,1414,N,nominal,2.0NRT,280.93,1.18,N
-33.76501,150.8488,306.12,0.46,0.63,2026-04-30,1414,N,nominal,2.0NRT,284.28,1.18,N
-34.20597,150.97041,306.41,0.44,0.62,2026-04-30,1414,N,nominal,2.0NRT,283.75,0.99,N
-34.20508,150.9711,306.23,0.44,0.62,2026-04-30,1414,N,nominal,2.0NRT,283.42,0.98,N
-34.45082,150.8745,295.53,0.44,0.62,2026-04-30,1414,N,nominal,2.0NRT,283.32,0.67,N
