Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,84.51,87.34,90.58,94.17,97.2,96.64,90.54
1949,82.37,71.63,73.82,76.0,80.32,86.58,89.96,89.77,93.2,97.03,99.39,97.92
1950,87.64,85.04,79.85,76.73,73.67,73.03,76.41,81.95,89.4,94.59,94.12,86.51
1951,75.62,65.78,52.48,57.59,67.7,76.9,88.73,96.63,99.46,99.51,99.05,96.57
1952,88.12,80.6,70.69,67.42,73.88,86.4,90.67,91.96,94.29,98.76,100.01,99.89
1953,96.91,89.89,77.28,71.09,74.72,84.33,87.58,90.95,93.99,97.36,99.42,96.9
1954,88.24,86.46,72.47,66.23,67.82,72.46,78.17,83.24,88.45,90.08,99.93,97.62
1955,84.24,77.48,66.93,60.61,60.58,66.84,76.8,88.73,92.61,99.19,98.5,99.16
1956,99.44,87.61,81.51,83.86,92.37,96.08,94.96,95.18,96.16,100.16,100.0,97.53
1957,87.25,75.32,62.78,52.94,53.58,52.02,58.13,60.26,31.54,48.35,52.11,51.88
1958,46.27,42.98,38.24,34.11,34.72,35.62,41.59,64.76,75.76,86.59,91.77,94.05
1959,88.02,82.92,79.42,75.58,72.4,73.15,75.89,87.02,96.22,97.24,94.7,91.47
1960,83.5,77.37,69.43,68.29,89.41,94.13,95.93,97.56,99.26,99.51,99.74,96.95
1961,88.7,80.75,76.36,74.35,73.67,76.89,86.95,92.3,95.29,92.31,85.34,77.67
1962,70.08,63.71,56.18,50.56,49.81,52.22,55.52,65.43,71.65,81.8,82.07,78.16
1963,72.95,68.58,61.88,56.8,57.85,59.72,69.09,77.94,88.26,92.0,90.59,84.11
1964,72.95,67.05,60.51,56.44,53.75,55.53,72.37,94.37,99.79,99.78,98.72,99.67
1965,93.77,83.76,74.85,72.17,69.68,67.53,70.19,81.25,87.48,85.53,84.45,81.32
1966,72.09,65.01,58.45,54.17,53.3,52.47,56.24,75.33,87.53,94.39,98.26,98.75
1967,91.38,79.63,69.27,62.76,56.4,52.02,48.31,49.91,56.23,55.14,50.53,47.57
1968,43.31,36.34,30.26,26.71,31.7,43.96,57.01,71.02,78.42,92.24,99.14,98.16
1969,90.38,84.45,79.33,76.16,77.49,85.39,88.48,92.29,96.61,97.61,96.45,96.27
1970,93.38,83.29,78.06,77.09,90.39,96.25,98.07,99.4,98.71,98.79,98.74,93.84
1971,89.17,83.01,73.43,67.26,72.7,82.81,88.6,84.61,92.99,93.74,94.24,93.15
1972,88.14,82.24,74.31,70.12,66.71,63.22,67.19,71.72,74.26,74.43,72.03,63.7
1973,57.02,56.03,52.81,50.7,53.13,59.74,64.67,77.25,49.38,54.01,56.59,55.04
1974,51.84,46.98,41.65,41.11,45.49,45.82,54.42,61.47,63.45,65.15,66.46,66.13
1975,62.79,56.63,52.35,49.03,48.71,50.53,56.81,67.61,69.94,75.44,78.68,78.56
1976,73.95,67.33,62.36,57.97,55.11,54.17,52.75,61.04,69.74,78.38,82.19,81.06
1977,76.64,71.18,66.52,64.71,64.01,74.6,85.13,91.49,94.29,94.66,91.23,84.35
1978,77.86,72.97,68.49,66.22,65.68,70.35,79.18,91.66,96.9,98.74,98.89,98.96
1979,94.06,88.07,83.08,80.13,79.29,78.53,78.29,82.13,89.9,96.7,95.67,88.42
1980,78.1,73.72,63.52,61.0,58.23,58.88,60.81,69.12,78.99,82.77,85.0,80.92
1981,73.5,66.6,62.21,57.87,56.32,57.59,67.33,82.17,90.22,92.82,92.41,87.45
1982,80.0,72.58,67.3,63.59,62.43,63.14,62.78,62.15,62.27,61.45,56.65,53.3
1983,49.18,43.89,39.8,36.96,35.79,38.06,45.2,52.65,65.47,73.55,78.1,80.24
1984,77.33,72.32,69.0,66.91,64.77,63.63,27.44,35.13,40.56,44.04,44.06,43.21
1985,40.89,38.02,35.78,35.13,34.5,35.79,37.69,44.92,48.61,50.44,51.9,54.15
1986,54.2,52.16,49.78,48.67,48.81,50.16,56.51,59.23,62.13,66.24,67.29,68.7
1987,67.82,65.64,64.3,63.28,63.19,63.96,66.68,69.51,72.21,73.23,72.71,72.38
1988,70.22,67.35,64.57,62.67,62.12,63.22,64.98,68.06,71.41,72.95,73.71,74.27
1989,73.02,70.52,68.74,68.06,67.47,69.35,71.67,75.99,79.94,85.15,87.4,85.92
1990,82.45,80.52,77.69,77.79,76.9,77.08,82.6,89.33,93.54,96.0,95.55,93.43
1991,91.09,87.65,84.33,81.96,79.84,79.81,82.97,88.98,96.2,97.01,95.72,94.47
1992,93.45,90.92,88.22,85.91,84.3,83.76,83.09,84.65,91.18,95.42,94.98,94.89
1993,92.8,89.96,86.88,84.04,81.94,81.48,82.12,84.6,88.84,88.91,89.36,88.75
1994,87.54,86.23,84.45,82.88,81.53,81.79,81.71,82.39,83.1,85.09,86.23,83.72
1995,81.6,78.93,76.31,76.04,76.17,79.71,83.82,87.09,87.74,89.54,89.95,89.1
1996,87.58,86.92,85.29,86.09,85.19,84.72,86.28,90.66,95.6,97.34,96.79,94.98
1997,91.84,88.16,84.88,82.23,80.34,79.0,77.75,77.12,77.76,76.47,74.78,71.25
1998,67.79,64.76,61.19,58.96,57.84,59.0,60.73,62.23,64.24,67.15,68.06,67.31
1999,65.36,63.08,60.82,58.99,57.55,57.9,57.63,59.21,60.43,60.82,59.86,57.99
2000,56.62,53.4,50.28,47.97,47.47,50.37,51.87,54.05,58.38,61.25,63.17,61.36
2001,58.44,55.39,52.94,51.37,49.67,49.68,50.06,52.92,55.31,57.88,59.99,59.59
2002,57.99,56.42,54.02,52.26,51.28,50.86,52.88,53.84,54.47,54.68,53.3,51.67
2003,48.63,46.0,43.75,42.29,41.06,41.05,42.53,47.5,52.12,55.9,57.89,56.86
2004,54.95,52.97,50.31,48.74,47.74,49.06,51.63,54.69,57.2,58.09,60.79,60.67
2005,59.21,59.07,56.96,55.1,53.24,52.41,52.38,54.63,59.47,60.28,59.88,58.51
2006,56.01,53.75,51.15,49.95,49.33,48.12,47.39,47.0,46.18,43.8,41.94,39.32
2007,36.89,34.51,32.33,30.35,29.1,31.06,36.12,39.0,40.11,40.32,40.41,39.66
2008,37.66,35.97,33.75,31.95,30.68,30.12,31.22,34.21,35.11,34.44,34.66,35.52
2009,33.77,31.52,29.72,28.47,26.95,25.99,27.01,28.4,32.85,37.82,37.94,37.43
2010,36.11,34.86,34.01,33.49,32.7,33.68,35.43,41.05,46.86,49.37,51.24,53.03
2011,53.02,53.43,52.92,53.11,53.82,55.74,59.19,61.2,61.97,63.48,65.01,66.08
2012,65.23,64.22,64.82,64.49,65.04,70.01,73.15,76.75,80.17,81.16,81.27,80.72
2013,78.13,75.84,73.65,71.77,70.0,70.79,71.97,76.7,78.64,80.14,80.96,80.65
2014,78.47,76.11,73.88,72.81,71.38,72.62,77.37,79.69,80.45,79.71,78.5,77.16
2015,75.27,73.33,71.06,69.6,69.0,68.34,69.52,72.73,74.5,73.22,71.51,68.8
2016,66.62,64.32,62.02,59.91,58.75,59.38,62.98,66.17,68.24,71.88,72.62,71.36
2017,69.32,67.26,64.88,64.11,63.15,62.17,62.55,65.41,69.94,69.69,68.5,69.33
2018,67.51,64.96,62.06,59.65,58.5,58.33,59.39,62.44,64.66,63.66,63.01,61.9
2019,59.03,56.4,53.62,51.34,49.65,50.11,53.25,58.19,62.69,63.22,63.83,62.98
2020,62.46,61.67,61.07,60.89,63.26,63.78,67.06,71.43,72.51,75.09,75.44,75.13
2021,74.86,73.14,72.34,71.93,71.04,74.86,77.69,80.64,84.07,87.41,89.95,89.91
2022,88.29,86.36,85.69,84.37,83.48,86.81,88.0,92.45,94.94,97.9,97.93,97.0
2023,95.1,93.08,91.31,90.33,89.76,91.61,92.37,92.05,92.54,95.89,95.02,95.1
2024,95.37,93.32,90.71,89.01,87.33,86.5,88.95,89.69,89.85,90.06,88.31,86.37
2025,83.51,80.95,78.1,75.43,73.0,71.47,72.19,72.35,73.25,73.44,75.11,74.9
2026,72.27,69.62,67.58,65.29,65.01
